article_id,api,phrase,confidence,neutralisation_model,pair_id,outlet,topic,frame
art_091,AWS,Friedrich Merz,0.9978,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,the chancellor candidate,0.9999,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,the Christian Democratic Union,0.9991,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,CDU,0.9995,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,the Christian Social Union,0.999,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,CSU,0.9997,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,supporters,0.9992,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,the CDU headquarters,0.9999,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,"Berlin, Germany",0.9991,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,"February 23, 2025",1.0,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,the German national election,1.0,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,preliminary results,0.9989,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,the Xinhua News Agency,0.9998,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,Monday,0.9994,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,morning,0.8637,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,Germany,0.9996,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,conservative bloc,0.9971,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,the CDU and CSU,0.9345,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,the German federal election,1.0,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,the impact,0.9999,gpt-4o,imm_008,Global Times,immigration,neutral
art_091,AWS,the German election,1.0,gpt-4o,imm_008,Global Times,immigration,neutral
