article_id,api,sentiment_label,score_positive,score_negative,score_neutral,score_mixed,net_sentiment,google_magnitude,pair_id,outlet,topic,frame
art_001,AWS,NEUTRAL,0.0093,0.1528,0.8364,0.0015,-0.1434,,imm_001,Fox News,immigration,security
art_001,Google,NEUTRAL,0.0,0.0,,,0.0,9.9,imm_001,Fox News,immigration,security
art_001,Azure,MIXED,0.26,0.51,0.23,,-0.25,,imm_001,Fox News,immigration,security
art_002,AWS,NEUTRAL,0.0128,0.1027,0.7326,0.152,-0.0899,,imm_001,BBC,immigration,neutral
art_002,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,14.4,imm_001,BBC,immigration,neutral
art_002,Azure,NEGATIVE,0.0,0.75,0.25,,-0.75,,imm_001,BBC,immigration,neutral
art_003,AWS,NEUTRAL,0.004,0.02,0.975,0.0011,-0.016,,imm_001,The Guardian,immigration,humanitarian
art_003,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,11.1,imm_001,The Guardian,immigration,humanitarian
art_003,Azure,MIXED,0.09,0.59,0.33,,-0.5,,imm_001,The Guardian,immigration,humanitarian
art_004,AWS,NEUTRAL,0.0047,0.1337,0.8575,0.0041,-0.129,,imm_001,CNN,immigration,neutral
art_004,Google,NEGATIVE,0.0,0.20000000298023224,,,-0.2,13.3,imm_001,CNN,immigration,neutral
art_004,Azure,MIXED,0.09,0.75,0.16,,-0.66,,imm_001,CNN,immigration,neutral
art_005,AWS,NEUTRAL,0.0083,0.1211,0.8672,0.0035,-0.1128,,imm_001,Reuters,immigration,neutral
art_005,Google,NEGATIVE,0.0,0.30000001192092896,,,-0.3,13.0,imm_001,Reuters,immigration,neutral
art_005,Azure,NEGATIVE,0.0,0.77,0.23,,-0.77,,imm_001,Reuters,immigration,neutral
art_006,AWS,NEUTRAL,0.0062,0.0814,0.9089,0.0034,-0.0752,,imm_001,Global Times,immigration,humanitarian
art_006,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,17.1,imm_001,Global Times,immigration,humanitarian
art_006,Azure,MIXED,0.06,0.75,0.19,,-0.69,,imm_001,Global Times,immigration,humanitarian
art_007,AWS,NEUTRAL,0.0019,0.0381,0.9593,0.0007,-0.0363,,imm_001,RT News,immigration,humanitarian
art_007,Google,NEGATIVE,0.0,0.4000000059604645,,,-0.4,4.8,imm_001,RT News,immigration,humanitarian
art_007,Azure,NEGATIVE,0.0,0.71,0.28,,-0.71,,imm_001,RT News,immigration,humanitarian
art_008,AWS,NEUTRAL,0.0039,0.0304,0.9431,0.0226,-0.0265,,imm_001,Al Jazeera,immigration,humanitarian
art_008,Google,NEGATIVE,0.0,0.20000000298023224,,,-0.2,9.6,imm_001,Al Jazeera,immigration,humanitarian
art_008,Azure,NEGATIVE,0.0,0.75,0.25,,-0.75,,imm_001,Al Jazeera,immigration,humanitarian
art_009,AWS,NEUTRAL,0.0402,0.0004,0.9591,0.0003,0.0399,,imm_001,Straits Times,immigration,humanitarian
