article_id,model,cosine_similarity,above_threshold,original_word_count,neutralised_word_count,word_count_change_pct,bertscore_p,bertscore_r,bertscore_f1,topic_original,topic_neutralised,topic_preserved,summary_original,summary_neutralised,summary_bertscore_f1
art_091,gpt-4o,0.9652,True,1033,814,-21.2,0.747,0.7737,0.7607,political conflict,political conflict,True,"Germany's conservative bloc, the Christian Democratic Union (CDU) and the Christian Social Union (CSU), won German federal election, according to preliminary results, the Xinhua News Agency reported on Monday morning.","Germany's conservative bloc, the Christian Democratic Union (CDU) and the Christian Social Union (CSU), won the German federal election, according to preliminary results.",0.8159
art_091,gpt-5-5,0.9953,True,1033,1027,-0.6,0.8643,0.8734,0.869,political conflict,political conflict,True,"Germany's conservative bloc, the Christian Democratic Union (CDU) and the Christian Social Union (CSU), won German federal election, according to preliminary results, the Xinhua News Agency reported on Monday morning.","Germany's Christian Democratic Union and the Christian Social Union (CSU) won the German federal election, according to preliminary results, the Xinhua News Agency reported on Monday morning.",0.8708
art_091,gemini-2.5-pro,0.9993,True,1033,1017,-1.5,0.9306,0.9283,0.9296,political conflict,political conflict,True,"Germany's conservative bloc, the Christian Democratic Union (CDU) and the Christian Social Union (CSU), won German federal election, according to preliminary results, the Xinhua News Agency reported on Monday morning.","Germany's conservative bloc, Christian Democratic Union (CDU) and Christian Social Union (CSU), won the German federal election, according to preliminary results, the Xinhua News Agency reported on Monday morning.",0.9483
art_232,gpt-4o,0.8251,False,1107,462,-58.3,0.2522,0.2404,0.2475,environment,environment,True,"Climate records have been tumbling at an alarming rate in recent weeks, and that is making people worried. Has climate change kicked up a gear? Is the planet going to boil? From the hottest week on record, the hottest June on record, the highest average sea surface temperature, to the lowest Antarctic sea ice extent for June, and now floods smashing parts of Japan, India and the United States.",Climate change is out of control – yet. We can control and reduce future risks of heat and other climate impacts if greenhouse gas emissions are reduced globally and action is taken to adapt to these impacts.,0.034
art_232,gpt-5-5,0.9471,True,1107,1096,-1.0,0.8865,0.8871,0.887,environment,environment,True,"Climate records have been tumbling at an alarming rate in recent weeks, and that is making people worried. Has climate change kicked up a gear? Is the planet going to boil? From the hottest week on record, the hottest June on record, the highest average sea surface temperature, to the lowest Antarctic sea ice extent for June, and now floods smashing parts of Japan, India and the United States.","SINGAPORE - Climate records have been broken in recent weeks, raising questions among the public. Has climate change accelerated? What do the recent records indicate? From the hottest week on record, the hottest June on record, the highest average sea surface temperature, to the lowest Antarctic sea ice extent for June, and now floods affecting parts of Japan, India and the United States.",0.7094
art_232,gemini-2.5-pro,0.8509,True,1107,1047,-5.4,0.6984,0.6697,0.6845,environment,environment,True,"Climate records have been tumbling at an alarming rate in recent weeks, and that is making people worried. Has climate change kicked up a gear? Is the planet going to boil? From the hottest week on record, the hottest June on record, the highest average sea surface temperature, to the lowest Antarctic sea ice extent for June, and now floods smashing parts of Japan, India and the United States.","Climate change is out of control, according to climate scientists, according to a report published by The Straits Times on Thursday. The report said the underlying drivers of climate change have not abated.",0.0743
art_092,gpt-4o,0.995,True,474,467,-1.5,0.8177,0.8788,0.8483,political conflict,political conflict,True,"Germany's conservative bloc, the Christian Democratic Union and the Christian Social Union (CSU), has taken the lead in the country's 2025 federal election, according to preliminary results released by German public broadcaster ARD on Sunday evening.","Germany's Christian Democratic Union (CDU) and Christian Social Union (CSU) have taken the lead in the country's 2025 federal election, according to preliminary results released by German public broadcaster ARD on Sunday evening.",0.903
art_092,gpt-5-5,0.9891,True,474,463,-2.3,0.9193,0.9208,0.9202,political conflict,political conflict,True,"Germany's conservative bloc, the Christian Democratic Union and the Christian Social Union (CSU), has taken the lead in the country's 2025 federal election, according to preliminary results released by German public broadcaster ARD on Sunday evening.","Germany's conservative bloc, Christian Democratic Union (CDU) and the Christian Social Union (CSU), led the country's 2025 federal election, according to preliminary results released by German public broadcaster ARD on Sunday evening.",0.9026
art_092,gemini-2.5-pro,0.9852,True,474,461,-2.7,0.9152,0.9167,0.9161,political conflict,political conflict,True,"Germany's conservative bloc, the Christian Democratic Union and the Christian Social Union (CSU), has taken the lead in the country's 2025 federal election, according to preliminary results released by German public broadcaster ARD on Sunday evening.","Germany's Christian Democratic Union (CDU) and Christian Social Union (CSU) bloc has received the most votes in the country's 2025 federal election, according to preliminary results released by German public broadcaster ARD on Sunday evening.",0.8659
art_224,gpt-4o,0.9224,True,658,419,-36.3,0.4528,0.4064,0.4304,environment,environment,True,Thousands of people have been evacuated from their homes in Los Angeles as wildfires continue to ravage the Pacific Coast Highway and the majority of the Pacific Palisades.,"The wildfires in Los Angeles have left at least five people dead, including Paris Hilton, Billy Crystal, Eugene Levy, Anna Faris, Anthony Hopkins, Spencer Pratt and Heidi Montag.",0.0429
