article_id,api,entity_text,entity_type,confidence,entity_sentiment_score,entity_salience,entity_sentiment_magnitude,entity_subtype,pair_id,outlet,topic,frame
art_001,AWS,Homeland Security Investigations,ORGANIZATION,0.9938,,,,,imm_001,Fox News,immigration,security
art_001,AWS,HSI,ORGANIZATION,0.9947,,,,,imm_001,Fox News,immigration,security
art_001,AWS,475 illegal migrants,QUANTITY,0.9931,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Thursday,DATE,0.9972,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Hyundai,ORGANIZATION,0.9939,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Georgia,LOCATION,0.9992,,,,,imm_001,Fox News,immigration,security
art_001,AWS,HSI,ORGANIZATION,0.9972,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Atlanta,LOCATION,0.7939,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Special,PERSON,0.6277,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Steven Schrank,PERSON,0.9991,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Hyundai,ORGANIZATION,0.9974,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Schrank,PERSON,0.9992,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Friday,DATE,0.995,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Several other agencies,QUANTITY,0.7111,,,,,imm_001,Fox News,immigration,security
art_001,AWS,U.S. Immigration and Customs Enforcement,ORGANIZATION,0.9965,,,,,imm_001,Fox News,immigration,security
art_001,AWS,ICE,ORGANIZATION,0.9786,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Hyundai–LG Energy Solution,ORGANIZATION,0.9533,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Ellabell,LOCATION,0.9937,,,,,imm_001,Fox News,immigration,security
art_001,AWS,about 20 miles,QUANTITY,0.9768,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Savannah,LOCATION,0.9939,,,,,imm_001,Fox News,immigration,security
art_001,AWS,HYUNDAI,ORGANIZATION,0.6755,,,,,imm_001,Fox News,immigration,security
art_001,AWS,GEORGIA,LOCATION,0.9522,,,,,imm_001,Fox News,immigration,security
art_001,AWS,single site,QUANTITY,0.9409,,,,,imm_001,Fox News,immigration,security
art_001,AWS,HSI,ORGANIZATION,0.9975,,,,,imm_001,Fox News,immigration,security
art_001,AWS,last few months,DATE,0.8279,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Trump,PERSON,0.9188,,,,,imm_001,Fox News,immigration,security
art_001,AWS,$4.3 billion,QUANTITY,0.9984,,,,,imm_001,Fox News,immigration,security
art_001,AWS,$7.6 billion,QUANTITY,0.9942,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Hyundai–LGES,ORGANIZATION,0.9946,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Hyundai,ORGANIZATION,0.9986,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Savannah EV,LOCATION,0.7806,,,,,imm_001,Fox News,immigration,security
art_001,AWS,single industrial investment,QUANTITY,0.749,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Georgia,LOCATION,0.9901,,,,,imm_001,Fox News,immigration,security
art_001,AWS,"over 3,000 acres",QUANTITY,0.9847,,,,,imm_001,Fox News,immigration,security
art_001,AWS,South Korean foreign ministry,ORGANIZATION,0.9117,,,,,imm_001,Fox News,immigration,security
art_001,AWS,US,LOCATION,0.8919,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Lee Jae-woong,PERSON,0.9994,,,,,imm_001,Fox News,immigration,security
art_001,AWS,South Korea,ORGANIZATION,0.919,,,,,imm_001,Fox News,immigration,security
art_001,AWS,foreign ministry,ORGANIZATION,0.8109,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Friday,DATE,0.999,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Financial Times,ORGANIZATION,0.9243,,,,,imm_001,Fox News,immigration,security
art_001,AWS,OMAHA,TITLE,0.55,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Georgia State Patrol,ORGANIZATION,0.7192,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Hyundai,ORGANIZATION,0.9942,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Georgia Department of Public Safety,ORGANIZATION,0.9946,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Associated Press,ORGANIZATION,0.9926,,,,,imm_001,Fox News,immigration,security
art_001,AWS,South Korea,ORGANIZATION,0.9746,,,,,imm_001,Fox News,immigration,security
art_001,AWS,$350 billion,QUANTITY,0.998,,,,,imm_001,Fox News,immigration,security
art_001,AWS,U.S.,LOCATION,0.9194,,,,,imm_001,Fox News,immigration,security
art_001,AWS,July,DATE,0.999,,,,,imm_001,Fox News,immigration,security
art_001,AWS,end of this year,DATE,0.9473,,,,,imm_001,Fox News,immigration,security
art_001,AWS,LGES,ORGANIZATION,0.9975,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Financial Times,ORGANIZATION,0.8943,,,,,imm_001,Fox News,immigration,security
art_001,AWS,LGES,ORGANIZATION,0.9973,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Fox News Digital,ORGANIZATION,0.9771,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Hyundai,ORGANIZATION,0.9987,,,,,imm_001,Fox News,immigration,security
art_001,AWS,today,DATE,0.991,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Hyundai Motor Company,ORGANIZATION,0.9895,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Hyundai,ORGANIZATION,0.9981,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Fox News Digital,ORGANIZATION,0.9621,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Department of Homeland Security,ORGANIZATION,0.9642,,,,,imm_001,Fox News,immigration,security
art_001,AWS,ICE Homeland Security,ORGANIZATION,0.9181,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Georgians,PERSON,0.9079,,,,,imm_001,Fox News,immigration,security
art_001,AWS,DHS,ORGANIZATION,0.996,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Fox News Digital,ORGANIZATION,0.9748,,,,,imm_001,Fox News,immigration,security
art_001,AWS,U.S. Department of Labor Office of Inspector General,ORGANIZATION,0.9884,,,,,imm_001,Fox News,immigration,security
art_001,AWS,FBI,ORGANIZATION,0.9868,,,,,imm_001,Fox News,immigration,security
art_001,AWS,DEA,ORGANIZATION,0.9908,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Customs and Border Protection,ORGANIZATION,0.9824,,,,,imm_001,Fox News,immigration,security
art_001,AWS,ATF,ORGANIZATION,0.9906,,,,,imm_001,Fox News,immigration,security
art_001,AWS,IRS,ORGANIZATION,0.9954,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Georgia State Patrol,ORGANIZATION,0.9982,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Each agency,QUANTITY,0.9884,,,,,imm_001,Fox News,immigration,security
art_001,AWS,FOX NEWS,ORGANIZATION,0.5718,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Thursday,DATE,0.9952,,,,,imm_001,Fox News,immigration,security
art_001,AWS,HSI,ORGANIZATION,0.7593,,,,,imm_001,Fox News,immigration,security
art_001,AWS,Homeland Security,ORGANIZATION,0.9975,,,,,imm_001,Fox News,immigration,security
art_001,Google,Hyundai,ORGANIZATION,,0.0,0.1013,0.5,,imm_001,Fox News,immigration,security
art_001,Google,arrest,EVENT,,0.0,0.0609,0.0,,imm_001,Fox News,immigration,security
art_001,Google,Some,PERSON,,0.0,0.0528,0.3,,imm_001,Fox News,immigration,security
art_001,Google,immigration enforcement raid,EVENT,,0.0,0.036,0.0,,imm_001,Fox News,immigration,security
art_001,Google,economy,OTHER,,0.0,0.033,0.1,,imm_001,Fox News,immigration,security
art_001,Google,site operation,EVENT,,0.0,0.0271,0.1,,imm_001,Fox News,immigration,security
art_001,Google,HSI,ORGANIZATION,,0.0,0.0269,0.1,,imm_001,Fox News,immigration,security
art_001,Google,migrants,PERSON,,0.0,0.0246,0.0,,imm_001,Fox News,immigration,security
art_001,Google,car battery factory,LOCATION,,0.0,0.0216,0.0,,imm_001,Fox News,immigration,security
art_001,Google,raid,EVENT,,0.0,0.0196,0.0,,imm_001,Fox News,immigration,security
art_001,Google,Department of Homeland Security,ORGANIZATION,,0.0,0.019,1.0,,imm_001,Fox News,immigration,security
art_001,Google,site,LOCATION,,0.0,0.0173,0.0,,imm_001,Fox News,immigration,security
art_001,Google,Georgia,LOCATION,,0.0,0.0165,0.1,,imm_001,Fox News,immigration,security
art_001,Google,workforce,OTHER,,-0.1,0.016,0.1,,imm_001,Fox News,immigration,security
art_001,Google,Homeland Security Investigations,EVENT,,0.0,0.0136,0.0,,imm_001,Fox News,immigration,security
art_001,Google,facility,LOCATION,,0.0,0.013,0.0,,imm_001,Fox News,immigration,security
art_001,Google,parent company,ORGANIZATION,,0.0,0.013,0.0,,imm_001,Fox News,immigration,security
art_001,Google,migrants,PERSON,,0.0,0.0118,0.0,,imm_001,Fox News,immigration,security
art_001,Google,Ellabell,LOCATION,,0.0,0.0118,0.0,,imm_001,Fox News,immigration,security
art_001,Google,laws,OTHER,,0.0,0.0117,0.0,,imm_001,Fox News,immigration,security
art_001,Google,Georgia Department of Public Safety,ORGANIZATION,,0.0,0.0107,0.0,,imm_001,Fox News,immigration,security
art_001,Google,Special Agent in Charge,PERSON,,0.0,0.0104,0.0,,imm_001,Fox News,immigration,security
art_001,Google,subcontractors,PERSON,,0.0,0.0103,0.0,,imm_001,Fox News,immigration,security
art_001,Google,message,OTHER,,-0.1,0.0103,0.1,,imm_001,Fox News,immigration,security
art_001,Google,news conference,EVENT,,-0.1,0.0103,0.1,,imm_001,Fox News,immigration,security
art_001,Google,battery plant,LOCATION,,0.0,0.0102,0.0,,imm_001,Fox News,immigration,security
art_001,Google,Georgia State Patrol,ORGANIZATION,,0.1,0.01,0.6,,imm_001,Fox News,immigration,security
art_001,Google,Construction,OTHER,,0.0,0.0095,0.0,,imm_001,Fox News,immigration,security
art_001,Google,cases,OTHER,,0.4,0.0086,0.9,,imm_001,Fox News,immigration,security
art_001,Google,Steven Schrank,PERSON,,-0.1,0.0073,0.2,,imm_001,Fox News,immigration,security
art_001,Google,Lee Jae-woong,PERSON,,-0.1,0.0073,0.2,,imm_001,Fox News,immigration,security
art_001,Google,battery plant construction site,LOCATION,,0.0,0.0065,0.0,,imm_001,Fox News,immigration,security
art_001,Google,raid,EVENT,,-0.2,0.0065,0.2,,imm_001,Fox News,immigration,security
art_001,Google,raids,EVENT,,0.1,0.0064,0.1,,imm_001,Fox News,immigration,security
art_001,Google,officials,PERSON,,-0.2,0.0062,0.2,,imm_001,Fox News,immigration,security
art_001,Google,HSI Atlanta,LOCATION,,0.0,0.0061,0.0,,imm_001,Fox News,immigration,security
art_001,Google,workplaces,LOCATION,,0.0,0.006,0.0,,imm_001,Fox News,immigration,security
art_001,Google,agencies,ORGANIZATION,,0.0,0.0059,0.0,,imm_001,Fox News,immigration,security
art_001,Google,raid,EVENT,,0.0,0.0058,0.0,,imm_001,Fox News,immigration,security
art_001,Google,part,OTHER,,0.0,0.0058,0.0,,imm_001,Fox News,immigration,security
art_001,Google,AGENTS,ORGANIZATION,,0.0,0.0052,0.0,,imm_001,Fox News,immigration,security
art_001,Google,facility,LOCATION,,0.0,0.0048,0.0,,imm_001,Fox News,immigration,security
