article_id,sentence_idx,target_text,target_sentiment,assessment_text,assessment_sentiment,sentence_sentiment,sentence_text,pair_id,outlet,topic,frame
art_001,7,Construction,negative,suspended,negative,neutral,"Construction at the site, which stretches over 3,000 acres, has been suspended, but there was no interruption at the adjacent EV manufacturing facility. ",imm_001,Fox News,immigration,security
art_002,11,workforce,positive,great,positive,neutral,"Asked by a reporter about the reaction from Seoul, he said: ""Well, we want to get along with other countries, and we want to have a great, stable workforce. """,imm_001,BBC,immigration,neutral
art_002,11,workforce,positive,stable,positive,neutral,"Asked by a reporter about the reaction from Seoul, he said: ""Well, we want to get along with other countries, and we want to have a great, stable workforce. """,imm_001,BBC,immigration,neutral
art_003,6,raid,positive,largest,positive,negative,"The raid is the largest single-site enforcement operation in the history of the US Department of Homeland Security (DHS), which was created in the aftermath of the 11 September 2001 terrorist attacks ",imm_001,The Guardian,immigration,humanitarian
art_003,11,raid,negative,disruptive,negative,negative,"The raid showed the disruptive impact that Donald Trump’s mass deportation agenda is having on businesses, even as the White House tries to spur more inflows from foreign investors. ",imm_001,The Guardian,immigration,humanitarian
art_003,20,workers,negative,barred,negative,negative,"DHS officials said the workers who were arrested were barred from working in the US after crossing the border illegally or overstaying visas, following an investigation lasting several months. ",imm_001,The Guardian,immigration,humanitarian
art_004,20,raid,negative,halted,negative,neutral,"The raid halted construction of the EV battery plant, The Associated Press reported. ",imm_001,CNN,immigration,neutral
art_006,4,detainees,negative,frisked,negative,negative,"Some detainees were frisked, put in handcuffs, and then shackled around ankles and waist. ",imm_001,Global Times,immigration,humanitarian
art_006,4,detainees,negative,shackled,negative,negative,"Some detainees were frisked, put in handcuffs, and then shackled around ankles and waist. ",imm_001,Global Times,immigration,humanitarian
art_006,5,scenes,positive,shocking,positive,negative,The scenes were shocking. ,imm_001,Global Times,immigration,humanitarian
art_006,6,US Homeland Security enforcement operation,positive,largest-ever,positive,positive,"This marked the largest-ever US Homeland Security enforcement operation at a single location, a ""special gift"" from the Trump administration to its South Korean ally. ",imm_001,Global Times,immigration,humanitarian
art_006,15,dignity,negative,fragile,negative,negative,"In short, the dignity of an ally appears exceedingly fragile in the face of the ""America First"" doctrine pursued by the US. ",imm_001,Global Times,immigration,humanitarian
art_006,17,displays,positive,large-scale,positive,neutral,"With heavily armed law enforcement, large-scale displays, and extensive media coverage, the US intentionally created a visual shock. ",imm_001,Global Times,immigration,humanitarian
art_006,17,media coverage,positive,extensive,positive,neutral,"With heavily armed law enforcement, large-scale displays, and extensive media coverage, the US intentionally created a visual shock. ",imm_001,Global Times,immigration,humanitarian
art_007,6,activities,negative,match,negative,negative,"Many reportedly entered the US on short-term business visas or under the Visa Waiver Program, but the immigration authorities concluded that their activities at the site did not match the purpose of t",imm_001,RT News,immigration,humanitarian
art_008,3,Stories,positive,Recommended,positive,neutral,"Recommended Stories list of 3 items- list 1 of 3US judge declares Trump’s National Guard deployment to Los Angeles illegal - list 2 of 3Washington, DC, sues to stop Trump deployment of National Guard ",imm_001,Al Jazeera,immigration,humanitarian
art_009,10,investments,positive,welcome,positive,neutral,"“Your investments are welcome, and we encourage you to legally bring your very smart people, with great technical talent, to build world-class products, and we will make it quickly and legally possibl",imm_001,Straits Times,immigration,humanitarian
art_009,18,response,positive,muted,positive,negative,"While Hyundai and other South Korean conglomerates are rushing to contain any fallout for their US operations, the response from other Asian countries and companies has been comparatively muted so far",imm_001,Straits Times,immigration,humanitarian
art_011,7,refugees,negative,threat,negative,neutral,"“There is no evidence that refugees – the most thoroughly vetted of all people entering our nation – are a threat to national security,” said Lena Masri, CAIR’s national litigation director. ",imm_002,BBC,immigration,humanitarian
art_012,28,chancellor,negative,regrets,negative,neutral,"“The chancellor regrets the US entry ban against refugees and citizens from several countries,” he added. ",imm_002,RT News,immigration,humanitarian
art_012,31,decision,negative,bad,negative,negative,“The decision is also bad for Europe because it will increase the Muslim world’s mistrust and hatred of the West.,imm_002,RT News,immigration,humanitarian
art_015,16,DHS,positive,humanely,positive,neutral,"The DHS said in the statement that they “will faithfully execute the immigration laws, and we will treat all of those we encounter humanely and with professionalism.” ",imm_002,Fox News,immigration,security
art_015,16,DHS,positive,professionalism,positive,neutral,"The DHS said in the statement that they “will faithfully execute the immigration laws, and we will treat all of those we encounter humanely and with professionalism.” ",imm_002,Fox News,immigration,security
art_016,30,order,negative,humiliating,negative,negative,"UL, who said he would raise the issue at a White House meeting on Friday.Arab travellers in the Middle East and North Africa said the order was humiliating and discriminatory. ",imm_002,Reuters,immigration,humanitarian
art_016,30,order,negative,discriminatory,negative,negative,"UL, who said he would raise the issue at a White House meeting on Friday.Arab travellers in the Middle East and North Africa said the order was humiliating and discriminatory. ",imm_002,Reuters,immigration,humanitarian
art_016,33,ban,negative,dismay,negative,negative,A Yemeni official expressed dismay at the ban.,imm_002,Reuters,immigration,humanitarian
art_017,4,browser extensions,negative,blocking,negative,neutral,One of your browser extensions seems to be blocking the video player from loading. ,imm_002,France 24,immigration,neutral
art_017,13,order,negative,prohibits,negative,neutral,"The order also prohibits the entry of all refugees, regardless of their nationality, for 120 days. ",imm_002,France 24,immigration,neutral
art_017,25,presidential order,negative,denounced,negative,negative,"They have denounced the presidential order as rash, contrary to American values and, according to them, a violation of the first amendment of the US constitution, which prohibits religious discriminat",imm_002,France 24,immigration,neutral
art_017,25,presidential order,negative,rash,negative,negative,"They have denounced the presidential order as rash, contrary to American values and, according to them, a violation of the first amendment of the US constitution, which prohibits religious discriminat",imm_002,France 24,immigration,neutral
art_017,25,presidential order,negative,violation,negative,negative,"They have denounced the presidential order as rash, contrary to American values and, according to them, a violation of the first amendment of the US constitution, which prohibits religious discriminat",imm_002,France 24,immigration,neutral
art_018,8,measure,negative,unclear,negative,neutral,It is unclear whether the measure would apply to citizens of those countries on trips abroad who already have permission to live and work in the US. ,imm_002,The Guardian,immigration,humanitarian
art_020,2,executive order,negative,cruel,negative,negative,"His executive order last week to halt the American refugee programme, bar those from Syria indefinitely and suspend entry for nationals from seven majority-Muslim countries for 90 days has been rightl",imm_002,South China Morning Post,immigration,humanitarian
art_020,2,executive order,negative,dangerous,negative,negative,"His executive order last week to halt the American refugee programme, bar those from Syria indefinitely and suspend entry for nationals from seven majority-Muslim countries for 90 days has been rightl",imm_002,South China Morning Post,immigration,humanitarian
art_020,12,order,positive,sudden,positive,negative,"His order was sudden and caught off guard thousands of Muslim travellers, American citizens among them, leaving many affected and confused. ",imm_002,South China Morning Post,immigration,humanitarian
art_020,13,Lawyers,positive,thankfully prepared,positive,neutral,Lawyers were thankfully prepared and several federal judges have temporarily stopped the deportation of visa-holders and 16 state attorneys general have said that the decision is unconstitutional. ,imm_002,South China Morning Post,immigration,humanitarian
art_020,13,decision,negative,unconstitutional,negative,neutral,Lawyers were thankfully prepared and several federal judges have temporarily stopped the deportation of visa-holders and 16 state attorneys general have said that the decision is unconstitutional. ,imm_002,South China Morning Post,immigration,humanitarian
art_021,8,order,negative,violates,negative,neutral,City Attorney Dennis Herrera says the order violates state’s rights as well as the rule of law. ,imm_002,BBC,immigration,neutral
art_022,19,tools,positive,effective,positive,neutral,"""And some of the tools have proven to be very effective because they do create such an emotional response in Europe — migration being one of them."" ",imm_005,Fox News,immigration,security
art_022,21,tool,positive,effective,positive,neutral,"""On the migration front, it’s important to see that tool as being incredibly effective in Europe at sowing discontent and causing debate within nations, between nations and within the European Union,""",imm_005,Fox News,immigration,security
art_023,6,flights,negative,halted,negative,negative,"After flights from Iraq to Belarus spiked in early August and were halted, asylum-seekers chose to fly to Minsk from Istanbul (four times a day) or Dubai (twice a day). ",imm_005,China Daily,immigration,humanitarian
