article_id,entity_text,entity_type,attributed_sent,doc_sentiment,entity_doc_diff,n_sentences
art_001,Homeland Security Investigations,Organization,-0.79,-0.25,0.54,2
art_001,HSI,Organization,-0.3625,-0.25,0.1124999999999999,4
art_001,Hyundai,Organization,-0.24,-0.25,0.01,8
art_001,HSI,Organization,-0.3625,-0.25,0.1124999999999999,4
art_001,Steven Schrank,Person,-0.3,-0.25,0.0499999999999999,1
art_001,Hyundai,Organization,-0.24,-0.25,0.01,8
art_001,Schrank,Person,-0.15,-0.25,0.1,2
art_001,ICE,Organization,-0.0399999999999999,-0.25,0.21,4
art_001,Hyundai–LG Energy Solution,Organization,-0.46,-0.25,0.21,1
art_001,HSI,Organization,-0.3625,-0.25,0.1124999999999999,4
art_001,Trump administration,Organization,-0.4,-0.25,0.15,1
art_001,Hyundai,Organization,-0.24,-0.25,0.01,8
art_001,LGES,Organization,0.0066666666666666,-0.25,0.2566666666666666,3
art_001,Hyundai,Organization,-0.24,-0.25,0.01,8
art_001,South Korean foreign ministry,Organization,-0.42,-0.25,0.1699999999999999,1
art_001,Lee Jae-woong,Person,-0.01,-0.25,0.24,1
art_001,Financial Times,Organization,-0.005,-0.25,0.245,2
art_001,Georgia State Patrol,Organization,0.56,-0.25,0.81,2
art_001,Georgia Department of Public Safety,Organization,0.0,-0.25,0.25,1
art_001,Associated Press,Organization,0.0,-0.25,0.25,1
art_001,LGES,Organization,0.0066666666666666,-0.25,0.2566666666666666,3
art_001,Financial Times,Organization,-0.005,-0.25,0.245,2
art_001,LGES,Organization,0.0066666666666666,-0.25,0.2566666666666666,3
art_001,Fox News Digital,Organization,-0.2699999999999999,-0.25,0.0199999999999999,3
art_001,Hyundai,Organization,-0.24,-0.25,0.01,8
art_001,Hyundai Motor Company,Organization,-0.01,-0.25,0.24,1
art_001,Hyundai,Organization,-0.24,-0.25,0.01,8
art_001,Fox News Digital,Organization,-0.2699999999999999,-0.25,0.0199999999999999,3
art_001,Department of Homeland Security,Organization,-0.82,-0.25,0.57,1
art_001,ICE Homeland Security Investigations,Organization,-0.82,-0.25,0.57,1
art_001,DHS,Person,-0.82,-0.25,0.57,1
art_001,Fox News Digital,Organization,-0.2699999999999999,-0.25,0.0199999999999999,3
art_001,Office of Inspector General,Organization,0.99,-0.25,1.24,1
art_001,FBI,Organization,0.99,-0.25,1.24,1
art_001,DEA,Organization,0.495,-0.25,0.745,2
art_001,Customs and Border Protection,Organization,0.99,-0.25,1.24,1
art_001,ATF,Organization,0.99,-0.25,1.24,1
art_001,IRS,Organization,0.99,-0.25,1.24,1
art_001,Georgia State Patrol,Organization,0.56,-0.25,0.81,2
art_001,FOX NEWS,Organization,-0.1999999999999999,-0.25,0.05,4
art_002,Hyundai,Organization,-0.2,-0.75,0.55,5
art_002,Donald Trump,Person,-0.735,-0.75,0.015,2
art_002,government,Organization,-0.3,-0.75,0.45,1
art_002,Department of Homeland Security,Organization,-0.68,-0.75,0.0699999999999999,1
art_002,BBC,Organization,-0.68,-0.75,0.0699999999999999,1
art_002,Steve Schrank,Person,-0.04,-0.75,0.71,1
art_002,Homeland Security Investigations,Organization,-0.015,-0.75,0.735,2
art_002,Schrank,Person,-0.03,-0.75,0.72,2
art_002,Donald Trump,Person,-0.735,-0.75,0.015,2
art_002,Trump,Person,-0.35,-0.75,0.4,4
art_002,ICE,Organization,-0.504,-0.75,0.246,5
art_002,Biden,Person,-0.13,-0.75,0.62,1
art_002,US Immigration and Customs Enforcement,Organization,-0.01,-0.75,0.74,1
art_002,ICE,Organization,-0.504,-0.75,0.246,5
art_002,Hyundai Motor Company,Organization,0.01,-0.75,0.76,1
art_002,Hyundai,Organization,-0.2,-0.75,0.55,5
art_002,Hyundai,Organization,-0.2,-0.75,0.55,5
art_002,Reuters,Organization,-0.01,-0.75,0.74,1
art_002,LG Energy Solutions,Organization,-0.03,-0.75,0.72,1
art_002,US embassy,Organization,-0.21,-0.75,0.54,1
art_002,Trump,Person,-0.35,-0.75,0.4,4
art_002,Brian Kemp,Person,0.03,-0.75,0.78,1
art_002,Hyundai,Organization,-0.2,-0.75,0.55,5
art_003,Lee Jae Myung,Person,-0.43,-0.5,0.07,1
art_003,US Immigration and Customs Enforcement,Organization,-0.43,-0.5,0.07,1
art_003,Ice,Organization,-0.2783333333333334,-0.5,0.2216666666666666,6
art_003,Cho Hyun,Person,-0.5,-0.5,0.0,1
art_003,Ice,Person,-0.2783333333333334,-0.5,0.2216666666666666,6
art_003,LG Energy Solution,Organization,-0.405,-0.5,0.0949999999999999,2
art_003,LGES,Organization,-0.39,-0.5,0.1099999999999999,4
art_003,Hyundai,Organization,-0.076,-0.5,0.424,10
art_003,Kia,Organization,0.0,-0.5,0.5,1
art_003,Genesis,Organization,0.0,-0.5,0.5,1
art_003,US Department of Homeland Security,Organization,-0.66,-0.5,0.16,1
art_003,DHS,Organization,-0.47,-0.5,0.0299999999999999,3
art_003,Korea Economic Daily,Organization,-0.75,-0.5,0.25,1
art_003,Hyundai,Organization,-0.076,-0.5,0.424,10
art_003,LGES,Organization,-0.39,-0.5,0.1099999999999999,4
art_003,Hyundai Motor,Organization,-0.0066666666666666,-0.5,0.4933333333333333,6
art_003,Trump administration,Organization,-0.73,-0.5,0.2299999999999999,1
art_003,Brian Kemp,Person,0.73,-0.5,1.23,1
art_003,Donald Trump,Person,-0.6,-0.5,0.0999999999999999,1
art_003,White House,Organization,-0.6,-0.5,0.0999999999999999,1
art_003,DHS,Organization,-0.47,-0.5,0.0299999999999999,3
art_003,Ice,Organization,-0.2783333333333334,-0.5,0.2216666666666666,6
art_003,FBI,Organization,-0.13,-0.5,0.37,1
art_003,DEA,Organization,-0.3033333333333333,-0.5,0.1966666666666666,3
art_003,Steven Schrank,Person,-0.01,-0.5,0.49,1
art_003,LGES,Organization,-0.39,-0.5,0.1099999999999999,4
art_003,Hyundai Motor,Organization,-0.0066666666666666,-0.5,0.4933333333333333,6
art_003,LGES,Organization,-0.39,-0.5,0.1099999999999999,4
art_003,Hyundai Motor,Organization,-0.0066666666666666,-0.5,0.4933333333333333,6
art_003,Hyundai-GA battery company,Organization,0.02,-0.5,0.52,1
art_003,DHS,Organization,-0.47,-0.5,0.0299999999999999,3
art_003,Hyundai Motor,Organization,-0.0066666666666666,-0.5,0.4933333333333333,6
art_003,Hyundai Motor,Organization,-0.0066666666666666,-0.5,0.4933333333333333,6
art_003,Schrank,Person,-0.005,-0.5,0.495,2
art_003,Hyundai Motor Group,Organization,0.0,-0.5,0.5,1
art_003,LG Energy Solution,Organization,-0.405,-0.5,0.0949999999999999,2
art_003,LGES,Organization,-0.39,-0.5,0.1099999999999999,4
art_003,Hyundai,Organization,-0.076,-0.5,0.424,10
art_003,Trump,Person,-0.35,-0.5,0.15,4
art_003,Trump,Person,-0.35,-0.5,0.15,4
art_004,Trump administration,Organization,-0.98,-0.66,0.3199999999999999,1
art_004,Steven Schrank,Person,-0.04,-0.66,0.62,1
art_004,Homeland Security Investigations,Organization,-0.08,-0.66,0.5800000000000001,2
art_004,Schrank,Person,0.04,-0.66,0.7000000000000001,6
art_004,Schrank,Person,0.04,-0.66,0.7000000000000001,6
art_004,US Attorney’s Office for the Southern District of Georgia,Organization,-0.12,-0.66,0.54,1
art_004,Schrank,Person,0.04,-0.66,0.7000000000000001,6
art_004,Hyundai,Organization,-0.31,-0.66,0.35,6
art_004,CNN,Organization,-0.394,-0.66,0.266,5
art_004,Hyundai Motor Company,Organization,-0.13,-0.66,0.53,1
art_004,Hyundai,Organization,-0.31,-0.66,0.35,6
art_004,Hyundai Motor North America,Organization,0.0,-0.66,0.66,1
art_004,Chris Susock,Person,0.0,-0.66,0.66,1
art_004,Hyundai,Organization,-0.31,-0.66,0.35,6
art_004,Hyundai,Organization,-0.31,-0.66,0.35,6
art_004,Hyundai,Organization,-0.31,-0.66,0.35,6
art_004,LG,Organization,-0.75,-0.66,0.0899999999999999,2
art_004,The Associated Press,Organization,-0.17,-0.66,0.49,1
art_004,LG,Organization,-0.75,-0.66,0.0899999999999999,2
art_004,CNN,Organization,-0.394,-0.66,0.266,5
art_004,LG,Organization,-0.75,-0.66,0.0899999999999999,2
art_004,CNN,Organization,-0.394,-0.66,0.266,5
art_004,Schrank,Person,0.04,-0.66,0.7000000000000001,6
art_004,CNN,Organization,-0.394,-0.66,0.266,5
art_004,ICE,Organization,-0.4133333333333333,-0.66,0.2466666666666667,6
art_004,Homeland Security Investigations,Organization,-0.08,-0.66,0.5800000000000001,2
art_004,Georgia State Patrol,Organization,-0.12,-0.66,0.54,1
art_004,FBI,Organization,-0.12,-0.66,0.54,1
art_004,DEA,Organization,-0.12,-0.66,0.54,1
art_004,ATF,Organization,-0.12,-0.66,0.54,1
art_004,Department of Homeland Security,Organization,-0.0499999999999999,-0.66,0.61,1
art_004,Schrank,Person,0.04,-0.66,0.7000000000000001,6
art_004,Hyundai,Organization,-0.31,-0.66,0.35,6
art_004,CNN,Organization,-0.394,-0.66,0.266,5
art_005,Hyundai Motor,Organization,-0.1333333333333333,-0.77,0.6366666666666667,6
art_005,DHS,Organization,-0.08,-0.77,0.6900000000000001,2
art_005,Donald Trump,Person,-0.78,-0.77,0.01,1
art_005,White House,Organization,-0.865,-0.77,0.0949999999999999,2
art_005,Hyundai Motor,Organization,-0.1333333333333333,-0.77,0.6366666666666667,6
art_005,Steven Schrank,Person,0.0,-0.77,0.77,1
art_005,Schrank,Person,-0.0466666666666666,-0.77,0.7233333333333334,3
art_005,Hyundai Motor,Organization,-0.1333333333333333,-0.77,0.6366666666666667,6
art_005,Chris Susock,Person,0.01,-0.77,0.78,1
art_005,Hyundai,Organization,-0.2455555555555555,-0.77,0.5244444444444445,9
art_005,ICE,Organization,-0.2566666666666666,-0.77,0.5133333333333334,6
art_005,Schrank,Person,-0.0466666666666666,-0.77,0.7233333333333334,3
art_005,Hyundai,Organization,-0.2455555555555555,-0.77,0.5244444444444445,9
art_005,LG Energy Solutions,Organization,0.01,-0.77,0.78,1
art_005,LGES,Organization,-0.015,-0.77,0.755,2
art_005,Hyundai Motor,Organization,-0.1333333333333333,-0.77,0.6366666666666667,6
art_005,LGES,Organization,-0.015,-0.77,0.755,2
art_005,Hyundai Motor,Organization,-0.1333333333333333,-0.77,0.6366666666666667,6
art_005,LGES,Organization,-0.015,-0.77,0.755,2
art_005,Trump,Person,-0.57,-0.77,0.2,3
art_005,Immigration and Customs Enforcement,Organization,-0.16,-0.77,0.61,1
art_005,ICE,Organization,-0.2566666666666666,-0.77,0.5133333333333334,6
art_005,DHS,Organization,-0.08,-0.77,0.6900000000000001,2
art_005,Trump,Person,-0.57,-0.77,0.2,3
art_005,ICE,Organization,-0.2566666666666666,-0.77,0.5133333333333334,6
art_005,White House,Organization,-0.865,-0.77,0.0949999999999999,2
art_005,Foreign Ministry,Organization,-0.95,-0.77,0.1799999999999999,1
art_005,Lee Jae-woong,Person,0.03,-0.77,0.8,1
art_005,Homeland Security Investigations,Organization,-0.01,-0.77,0.76,1
art_005,DOJ,Organization,-0.01,-0.77,0.76,1
art_005,Democratic Party,Organization,-0.57,-0.77,0.2,1
art_005,Brian Kemp,Person,-0.57,-0.77,0.2,1
art_005,Hyundai,Organization,-0.2455555555555555,-0.77,0.5244444444444445,9
art_005,Hyundai Motor,Organization,-0.1333333333333333,-0.77,0.6366666666666667,6
art_005,LG Energy,Organization,0.005,-0.77,0.775,2
art_006,US Immigration and Customs Enforcement,Organization,-0.15,-0.69,0.5399999999999999,1
art_006,Hyundai Motor Group,Organization,-0.89,-0.69,0.2,1
art_006,LG Energy Solution,Organization,-0.89,-0.69,0.2,1
art_006,Trump administration,Organization,0.74,-0.69,1.43,1
art_006,Lee Jae-myung,Person,-0.08,-0.69,0.61,1
art_006,Center for Korean Peninsula Studies,Organization,0.0,-0.69,0.69,1
art_006,Shanghai University of International Business and Economics,Organization,0.0,-0.69,0.69,1
art_007,immigration authorities,Organization,-0.605,-0.71,0.1049999999999999,2
art_007,Hyundai,Organization,-0.2033333333333333,-0.71,0.5066666666666666,3
art_007,Hyundai Motor Group,Organization,-0.04,-0.71,0.6699999999999999,1
art_007,LG Energy Solution,Organization,-0.04,-0.71,0.6699999999999999,1
art_007,US Homeland Security Investigations,Organization,-0.86,-0.71,0.15,1
art_007,HSI,Organization,-0.43,-0.71,0.2799999999999999,2
art_007,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",Organization,-0.08,-0.71,0.63,1
art_007,ATFAtlanta,Organization,-0.14,-0.71,0.57,2
