article_id,model,IPSV_after,IPSV_before,outlet,topic,frame,IPSV_change,IPSV_reduction_pct,cosine_similarity,above_threshold,original_word_count,neutralised_word_count,word_count_change_pct,bertscore_p,bertscore_r,bertscore_f1,topic_original,topic_neutralised,topic_preserved,summary_original,summary_neutralised,summary_bertscore_f1,AWS_before,AWS_after,Google_before,Google_after,Azure_before,Azure_after,lfi_before,lfi_after,abs_lfi_before,abs_lfi_after,IAEI_before_avg,IAEI_after_avg
art_001,gemini-2.5-pro,2.213427630450848,1.6727596560824034,Fox News,immigration,security,0.5406679743684444,-32.32,0.9381,True,720,667,-7.4,0.7798,0.725,0.7527,immigration,immigration,True,Homeland Security Investigations (HSI) announced the arrest of 475 illegal migrants during a major immigration enforcement raid on Thursday at a Hyundai electric car battery factory in Georgia.,"Immigration and Customs Enforcement"" were involved in the arrest of 475 individuals during an immigration enforcement action at a Hyundai electric car battery factory construction site in Georgia.",0.5674,-0.1434,-0.1438,0.0,0.0,-0.25,0.05,-0.9,-0.7778,0.9,0.7778,0.20224470528995211,0.1865115533814975
art_001,gpt-4o,2.0769671148714477,1.6727596560824034,Fox News,immigration,security,0.4042074587890443,-24.16,0.9375,True,720,676,-6.1,0.6723,0.6516,0.6625,immigration,immigration,True,Homeland Security Investigations (HSI) announced the arrest of 475 illegal migrants during a major immigration enforcement raid on Thursday at a Hyundai electric car battery factory in Georgia.,"South Korea's foreign ministry expressed ""concern and regret"" over the operation at a battery plant construction site in Ellabell, Georgia.",0.1588,-0.1434,-0.1056,0.0,0.0,-0.25,0.07,-0.9,-0.7143,0.9,0.7143,0.20224470528995211,0.17251493279587907
art_001,gpt-5-5,1.3676835210637195,1.6727596560824034,Fox News,immigration,security,-0.3050761350186839,18.24,0.9572,True,720,722,0.3,0.7597,0.7725,0.7665,immigration,immigration,True,Homeland Security Investigations (HSI) announced the arrest of 475 illegal migrants during a major immigration enforcement raid on Thursday at a Hyundai electric car battery factory in Georgia.,"U.S. citizens' rights,"" said a rep for South Korea's foreign ministry, according to a statement from the U.S. Department of Homeland Security.",0.0798,-0.1434,-0.1177,0.0,-0.1,-0.25,-0.27,-0.9,-0.8,0.9,0.8,0.20224470528995211,0.2088225168293418
art_017,gemini-2.5-pro,0.48411348980090857,0.9542462382870852,France 24,immigration,neutral,-0.47013274848617664,49.27,0.8773,True,844,791,-6.3,0.8101,0.7781,0.7944,political conflict,immigration,False,"President Trump's decision to temporarily ban incoming refugees and travellers from seven Muslim-majority countries, including Iran, Iraq, Yemen, Somalia and Syria.",Questions have arisen since US President Donald Trump signed an executive order on Friday temporarily restricting entry for refugees and travelers from seven countries. The following article addresses some of the key points,0.2967,-0.266,-0.1442,-0.4,-0.3,-0.71,-0.7,0.75,0.0,0.75,0.0,0.33782580734422146,0.31669846880908914
art_017,gpt-4o,0.28054877940224254,0.9542462382870852,France 24,immigration,neutral,-0.6736974588848427,70.6,0.9017,True,844,700,-17.1,0.5377,0.4631,0.501,political conflict,political conflict,True,"President Trump's decision to temporarily ban incoming refugees and travellers from seven Muslim-majority countries, including Iran, Iraq, Yemen, Somalia and Syria.","US citizens who hold passports from one of the seven Muslim-majority countries who will not be affected,"" he said in a statement.",0.1039,-0.266,-0.008,-0.4,-0.3,-0.71,-0.75,0.75,0.0,0.75,0.0,0.33782580734422146,0.28148177676371705
art_017,gpt-5-5,0.3803907106274652,0.9542462382870852,France 24,immigration,neutral,-0.57385552765962,60.14,0.9859,True,844,836,-0.9,0.9331,0.9313,0.9323,political conflict,political conflict,True,"President Trump's decision to temporarily ban incoming refugees and travellers from seven Muslim-majority countries, including Iran, Iraq, Yemen, Somalia and Syria.",President Trump's executive order temporarily banning incoming refugees and travellers from seven Muslim-majority countries. What is it and who is affected?,0.5277,-0.266,-0.1554,-0.4,-0.4,-0.71,-0.75,0.75,0.0,0.75,0.0,0.33782580734422146,0.313823245584667
art_018,gemini-2.5-pro,0.3321176933666385,0.9595642380174192,The Guardian,immigration,humanitarian,-0.6274465446507806,65.39,0.9397,True,1510,1397,-7.5,0.7194,0.6841,0.7022,immigration,immigration,True,President Trump’s first official move to impose a de facto ban on Muslims entering the US from parts of the Middle East and North Africa.,"The White House has imposed a 90-day block on entry to the US from citizens from Iran, Iraq, Syria, Yemen, Sudan, Libya and Somalia.",0.3392,0.0581,0.0026,-0.4,-0.3,-0.87,-0.75,0.7949,0.75,0.7949,0.75,0.37497662375017754,0.31928086138979717
art_018,gpt-4o,0.29690324701570286,0.9595642380174192,The Guardian,immigration,humanitarian,-0.6626609910017163,69.06,0.8883,True,1510,493,-67.4,0.3214,0.2898,0.3067,immigration,political conflict,False,President Trump’s first official move to impose a de facto ban on Muslims entering the US from parts of the Middle East and North Africa.,"Donald Trump issued an executive order on Friday that will restrict entry to the United States for refugees and immigrants from certain Muslim-majority countries. The executive order enacts a 90-day block on entry from citizens of Iran, Iraq, Syria, Yemen, Sudan, Libya, and Somalia. Trump emphasized helping persecuted Christians in the Middle East and North Africa, stating, “They’ve been horribly treated.”",0.3498,0.0581,0.0153,-0.4,-0.3,-0.87,-0.66,0.7949,0.75,0.7949,0.75,0.37497662375017754,0.2872421652761504
art_018,gpt-5-5,0.5472540497962032,0.9595642380174192,The Guardian,immigration,humanitarian,-0.412310188221216,42.97,0.9679,True,1510,1483,-1.8,0.7945,0.8214,0.8082,immigration,immigration,True,President Trump’s first official move to impose a de facto ban on Muslims entering the US from parts of the Middle East and North Africa.,Trump’s executive order to deny entry to US from certain Muslim-majority countries – a move that has been criticized by critics.,0.4301,0.0581,0.0461,-0.4,-0.3,-0.87,-0.75,0.7949,0.6842,0.7949,0.6842,0.37497662375017754,0.2756572757047833
art_031,gemini-2.5-pro,0.47743073307908984,0.9756226872604246,Al Jazeera,immigration,humanitarian,-0.4981919541813347,51.06,0.907,True,1751,1583,-9.6,0.6435,0.602,0.6232,political conflict,political conflict,True,Thousands of people are stranded in freezing conditions along the border amid a standoff between Warsaw and Minsk. Warsaw and its allies are ramping up efforts to prevent people from entering the European Union member state as a war of words with Minsk intensifies.,Thousands of people are stranded in freezing conditions along the border amid a standoff between Warsaw and Minsk. The months-long situation involving migrants along Poland’s border with Belarus is developing as more people attempt to cross the border.,0.5423,0.0073,-0.0466,-0.5,-0.4,-0.71,-0.67,0.8276,0.7391,0.8276,0.7391,0.24932078485229173,0.23861847534304617
