article_id,IAEI,api,method,pair_id,outlet,topic,frame
art_001,0.0644578313253012,Google,native_entity_sentiment,imm_001,Fox News,immigration,security
art_002,0.2902439024390244,Google,native_entity_sentiment,imm_001,BBC,immigration,neutral
art_003,0.3017647058823529,Google,native_entity_sentiment,imm_001,The Guardian,immigration,humanitarian
art_004,0.2056179775280898,Google,native_entity_sentiment,imm_001,CNN,immigration,neutral
art_005,0.2723163841807909,Google,native_entity_sentiment,imm_001,Reuters,immigration,neutral
art_006,0.3524475524475525,Google,native_entity_sentiment,imm_001,Global Times,immigration,humanitarian
art_007,0.3952380952380953,Google,native_entity_sentiment,imm_001,RT News,immigration,humanitarian
art_008,0.1994117647058823,Google,native_entity_sentiment,imm_001,Al Jazeera,immigration,humanitarian
art_009,0.1884146341463414,Google,native_entity_sentiment,imm_001,Straits Times,immigration,humanitarian
art_010,0.2025210084033613,Google,native_entity_sentiment,imm_001,Le Monde,immigration,neutral
art_011,0.3989247311827957,Google,native_entity_sentiment,imm_002,BBC,immigration,humanitarian
art_012,0.3509316770186335,Google,native_entity_sentiment,imm_002,RT News,immigration,humanitarian
art_013,0.1923076923076923,Google,native_entity_sentiment,imm_002,CNN,immigration,humanitarian
art_014,0.3870967741935484,Google,native_entity_sentiment,imm_002,BBC,immigration,security
art_015,0.2026086956521739,Google,native_entity_sentiment,imm_002,Fox News,immigration,security
art_016,0.4666666666666667,Google,native_entity_sentiment,imm_002,Reuters,immigration,humanitarian
art_017,0.3813664596273292,Google,native_entity_sentiment,imm_002,France 24,immigration,neutral
art_018,0.3928571428571429,Google,native_entity_sentiment,imm_002,The Guardian,immigration,humanitarian
art_019,0.4531914893617021,Google,native_entity_sentiment,imm_002,Global Times,immigration,neutral
art_020,0.313265306122449,Google,native_entity_sentiment,imm_002,South China Morning Post,immigration,humanitarian
art_021,0.2759493670886076,Google,native_entity_sentiment,imm_002,BBC,immigration,neutral
art_022,0.2875,Google,native_entity_sentiment,imm_005,Fox News,immigration,security
art_023,0.341875,Google,native_entity_sentiment,imm_005,China Daily,immigration,humanitarian
art_024,0.3417721518987342,Google,native_entity_sentiment,imm_005,BBC,immigration,security
art_025,0.2574074074074073,Google,native_entity_sentiment,imm_005,CNN,immigration,security
art_026,0.2524475524475524,Google,native_entity_sentiment,imm_005,The Guardian,immigration,humanitarian
art_027,0.2761589403973509,Google,native_entity_sentiment,imm_005,The Hindu,immigration,neutral
art_028,0.3577777777777778,Google,native_entity_sentiment,imm_005,Reuters,immigration,humanitarian
art_029,0.3802631578947368,Google,native_entity_sentiment,imm_005,RT News,immigration,humanitarian
art_030,0.3045112781954887,Google,native_entity_sentiment,imm_005,DW,immigration,humanitarian
art_031,0.4805882352941176,Google,native_entity_sentiment,imm_005,Al Jazeera,immigration,humanitarian
art_032,0.2802469135802469,Google,native_entity_sentiment,pol_001,RT News,political conflict,people-centric
art_033,0.1825301204819277,Google,native_entity_sentiment,pol_001,Al Jazeera,political conflict,people-centric
art_034,0.294078947368421,Google,native_entity_sentiment,pol_001,CNN,political conflict,neutral
art_035,0.2862857142857143,Google,native_entity_sentiment,pol_001,BBC,political conflict,neutral
art_036,0.2853333333333333,Google,native_entity_sentiment,imm_003,Global Times,immigration,neutral
art_037,0.2934131736526946,Google,native_entity_sentiment,imm_003,Al Jazeera,immigration,humanitarian
art_038,0.20125,Google,native_entity_sentiment,imm_003,RT News,immigration,neutral
art_039,0.2023121387283237,Google,native_entity_sentiment,imm_003,CNN,immigration,neutral
art_040,0.1905882352941176,Google,native_entity_sentiment,imm_003,BBC,immigration,humanitarian
art_041,0.2970930232558139,Google,native_entity_sentiment,imm_003,Fox News,immigration,neutral
art_042,0.4955555555555556,Google,native_entity_sentiment,imm_003,Reuters,immigration,humanitarian
art_043,0.3865079365079365,Google,native_entity_sentiment,imm_003,France 24,immigration,security
art_044,0.2868852459016393,Google,native_entity_sentiment,imm_003,The Guardian,immigration,humanitarian
