article_id,IAEI_after,api,method,model,outlet,topic,frame,IAEI_before,IAEI_change,IAEI_reduction_pct
art_001,0.0689440993788819,Google,native_entity_sentiment,gpt-4o,Fox News,immigration,security,0.0644578313253012,0.004486268053580711,-6.96
art_017,0.2832258064516129,Google,native_entity_sentiment,gpt-4o,France 24,immigration,neutral,0.3813664596273292,-0.0981406531757163,25.73
art_018,0.2805084745762712,Google,native_entity_sentiment,gpt-4o,The Guardian,immigration,humanitarian,0.3928571428571429,-0.1123486682808717,28.6
art_031,0.2770491803278688,Google,native_entity_sentiment,gpt-4o,Al Jazeera,immigration,humanitarian,0.4805882352941176,-0.2035390549662488,42.35
art_051,0.38,Google,native_entity_sentiment,gpt-4o,The Hindu,immigration,neutral,0.5826923076923077,-0.20269230769230773,34.79
art_052,0.3980392156862745,Google,native_entity_sentiment,gpt-4o,The Hindu,immigration,neutral,0.5826923076923077,-0.18465309200603325,31.69
art_057,0.2914893617021277,Google,native_entity_sentiment,gpt-4o,Fox News,immigration,neutral,0.3571428571428572,-0.06565349544072951,18.38
art_058,0.3984375,Google,native_entity_sentiment,gpt-4o,South China Morning Post,immigration,humanitarian,0.5765625,-0.17812499999999998,30.89
art_062,0.2969325153374233,Google,native_entity_sentiment,gpt-4o,Reuters,immigration,neutral,0.4947368421052631,-0.19780432676783977,39.98
art_063,0.3897959183673469,Google,native_entity_sentiment,gpt-4o,Al Jazeera,immigration,neutral,0.4793388429752066,-0.08954292460785973,18.68
art_065,0.4783505154639175,Google,native_entity_sentiment,gpt-4o,Le Monde,immigration,neutral,0.471875,0.006475515463917503,-1.37
art_070,0.2939655172413793,Google,native_entity_sentiment,gpt-4o,CNN,immigration,neutral,0.4862318840579709,-0.1922663668165916,39.54
art_072,0.3949044585987261,Google,native_entity_sentiment,gpt-4o,Reuters,immigration,neutral,0.5925,-0.19759554140127394,33.35
art_076,0.3873873873873873,Google,native_entity_sentiment,gpt-4o,News24,immigration,neutral,0.7,-0.31261261261261264,44.66
