article_id,api,phrase,confidence,pair_id,outlet,topic,frame
art_001,AWS,Homeland Security Investigations,0.9992,imm_001,Fox News,immigration,security
art_001,AWS,HSI,0.9998,imm_001,Fox News,immigration,security
art_001,AWS,the arrest,1.0,imm_001,Fox News,immigration,security
art_001,AWS,475 illegal migrants,0.9996,imm_001,Fox News,immigration,security
art_001,AWS,a major immigration enforcement raid,0.9995,imm_001,Fox News,immigration,security
art_001,AWS,Thursday,0.9999,imm_001,Fox News,immigration,security
art_001,AWS,a Hyundai electric car battery factory,0.9978,imm_001,Fox News,immigration,security
art_001,AWS,Georgia,1.0,imm_001,Fox News,immigration,security
art_001,AWS,HSI Atlanta Special Agent,0.9958,imm_001,Fox News,immigration,security
art_001,AWS,Charge Steven Schrank,0.9995,imm_001,Fox News,immigration,security
art_001,AWS,the raid,1.0,imm_001,Fox News,immigration,security
art_001,AWS,a Hyundai facility,0.9998,imm_001,Fox News,immigration,security
art_001,AWS,all the migrants,0.8219,imm_001,Fox News,immigration,security
art_001,AWS,the parent company,0.999,imm_001,Fox News,immigration,security
art_001,AWS,subcontractors,0.9989,imm_001,Fox News,immigration,security
art_001,AWS,the site,1.0,imm_001,Fox News,immigration,security
art_001,AWS,a clear and unequivocal message,0.9999,imm_001,Fox News,immigration,security
art_001,AWS,our workforce,1.0,imm_001,Fox News,immigration,security
art_001,AWS,our economy,1.0,imm_001,Fox News,immigration,security
art_001,AWS,federal laws,0.9991,imm_001,Fox News,immigration,security
art_001,AWS,Schrank,0.9995,imm_001,Fox News,immigration,security
art_001,AWS,a news conference,0.9999,imm_001,Fox News,immigration,security
art_001,AWS,Friday,0.9999,imm_001,Fox News,immigration,security
art_001,AWS,Several other agencies,0.9998,imm_001,Fox News,immigration,security
art_001,AWS,U.S. Immigration,0.9999,imm_001,Fox News,immigration,security
art_001,AWS,Customs Enforcement,0.9448,imm_001,Fox News,immigration,security
art_001,AWS,ICE,0.9996,imm_001,Fox News,immigration,security
art_001,AWS,part,0.9985,imm_001,Fox News,immigration,security
art_001,AWS,the raid,0.9999,imm_001,Fox News,immigration,security
art_001,AWS,the Hyundai–LG Energy Solution battery plant construction site,0.9534,imm_001,Fox News,immigration,security
art_001,AWS,Ellabell,0.9998,imm_001,Fox News,immigration,security
art_001,AWS,about 20 miles,0.9896,imm_001,Fox News,immigration,security
art_001,AWS,Savannah,1.0,imm_001,Fox News,immigration,security
art_001,AWS,FEDERAL AGENTS ARREST HUNDREDS AT HYUNDAI PLANT CONSTRUCTION SITE,0.9589,imm_001,Fox News,immigration,security
art_001,AWS,GEORGIA,0.9787,imm_001,Fox News,immigration,security
art_001,AWS,The raid,0.9372,imm_001,Fox News,immigration,security
art_001,AWS,the largest single site operation,0.9892,imm_001,Fox News,immigration,security
art_001,AWS,HSI,0.7904,imm_001,Fox News,immigration,security
art_001,AWS,major raids,0.9998,imm_001,Fox News,immigration,security
art_001,AWS,other workplaces,1.0,imm_001,Fox News,immigration,security
art_001,AWS,the last few months,1.0,imm_001,Fox News,immigration,security
art_001,AWS,the Trump administration,0.9999,imm_001,Fox News,immigration,security
art_001,AWS,The facility,0.9999,imm_001,Fox News,immigration,security
art_001,AWS,a $4.3 billion to $7.6 billion Hyundai–LGES joint venture,0.974,imm_001,Fox News,immigration,security
art_001,AWS,batteries,0.9984,imm_001,Fox News,immigration,security
art_001,AWS,Hyundai,0.9999,imm_001,Fox News,immigration,security
art_001,AWS,’s nearby Savannah EV plant,0.997,imm_001,Fox News,immigration,security
art_001,AWS,the largest single industrial investment,0.9999,imm_001,Fox News,immigration,security
art_001,AWS,Georgia,1.0,imm_001,Fox News,immigration,security
art_001,AWS,’s history,0.9996,imm_001,Fox News,immigration,security
art_001,AWS,Construction,0.9994,imm_001,Fox News,immigration,security
art_001,AWS,the site,1.0,imm_001,Fox News,immigration,security
art_001,AWS,"3,000 acres",0.9991,imm_001,Fox News,immigration,security
art_001,AWS,no interruption,0.9986,imm_001,Fox News,immigration,security
art_001,AWS,the adjacent EV manufacturing facility,0.9997,imm_001,Fox News,immigration,security
art_001,AWS,The South Korean foreign ministry,0.9998,imm_001,Fox News,immigration,security
art_001,AWS,concern and regret,0.9721,imm_001,Fox News,immigration,security
art_001,AWS,the raid,0.9999,imm_001,Fox News,immigration,security
art_001,AWS,a counselor and embassy officials,0.9853,imm_001,Fox News,immigration,security
art_001,AWS,the location,1.0,imm_001,Fox News,immigration,security
art_001,AWS,Our companies’,0.9998,imm_001,Fox News,immigration,security
art_001,AWS,economic activities,0.9998,imm_001,Fox News,immigration,security
art_001,AWS,our people,0.9999,imm_001,Fox News,immigration,security
art_001,AWS,’s rights,0.999,imm_001,Fox News,immigration,security
art_001,AWS,the US legal enforcement process,0.9995,imm_001,Fox News,immigration,security
art_001,AWS,Lee Jae-woong,0.9991,imm_001,Fox News,immigration,security
art_001,AWS,a spokesperson,0.9995,imm_001,Fox News,immigration,security
art_001,AWS,South Korea,0.9998,imm_001,Fox News,immigration,security
art_001,AWS,’s foreign ministry,0.9998,imm_001,Fox News,immigration,security
art_001,AWS,Friday,0.9998,imm_001,Fox News,immigration,security
art_001,AWS,the Financial Times,1.0,imm_001,Fox News,immigration,security
art_001,AWS,PROTESTERS THROW ROCKS,0.9136,imm_001,Fox News,immigration,security
art_001,AWS,JUMP,0.8394,imm_001,Fox News,immigration,security
