article_id,model,IPSV_after,IPSV_before,outlet,topic,frame,IPSV_change,IPSV_reduction_pct,region,broad_region
art_001,gemini-2.5-pro,2.213427630450848,1.6727596560824034,Fox News,immigration,security,0.5406679743684444,-32.32,Western (US),Western/Global
art_001,gpt-4o,2.0769671148714477,1.6727596560824034,Fox News,immigration,security,0.4042074587890443,-24.16,Western (US),Western/Global
art_001,gpt-5-5,1.3676835210637195,1.6727596560824034,Fox News,immigration,security,-0.3050761350186839,18.24,Western (US),Western/Global
art_017,gemini-2.5-pro,0.48411348980090857,0.9542462382870852,France 24,immigration,neutral,-0.47013274848617664,49.27,Western (Europe),Western/Global
art_017,gpt-4o,0.28054877940224254,0.9542462382870852,France 24,immigration,neutral,-0.6736974588848427,70.6,Western (Europe),Western/Global
art_017,gpt-5-5,0.3803907106274652,0.9542462382870852,France 24,immigration,neutral,-0.57385552765962,60.14,Western (Europe),Western/Global
art_018,gemini-2.5-pro,0.3321176933666385,0.9595642380174192,The Guardian,immigration,humanitarian,-0.6274465446507806,65.39,Western (UK),Western/Global
art_018,gpt-4o,0.29690324701570286,0.9595642380174192,The Guardian,immigration,humanitarian,-0.6626609910017163,69.06,Western (UK),Western/Global
art_018,gpt-5-5,0.5472540497962032,0.9595642380174192,The Guardian,immigration,humanitarian,-0.412310188221216,42.97,Western (UK),Western/Global
art_031,gemini-2.5-pro,0.47743073307908984,0.9756226872604246,Al Jazeera,immigration,humanitarian,-0.4981919541813347,51.06,Non-Western (Middle East),Non-Western
art_031,gpt-4o,0.6398036831680447,0.9756226872604246,Al Jazeera,immigration,humanitarian,-0.33581900409237986,34.42,Non-Western (Middle East),Non-Western
art_031,gpt-5-5,0.8289591937624343,0.9756226872604246,Al Jazeera,immigration,humanitarian,-0.14666349349799024,15.03,Non-Western (Middle East),Non-Western
art_051,gemini-2.5-pro,0.5814059158331155,1.088115458573165,The Hindu,immigration,neutral,-0.5067095427400494,46.57,Non-Western (South Asia),Non-Western
art_051,gpt-4o,0.47600254585602275,1.088115458573165,The Hindu,immigration,neutral,-0.6121129127171422,56.25,Non-Western (South Asia),Non-Western
art_051,gpt-5-5,0.47679571102155205,1.088115458573165,The Hindu,immigration,neutral,-0.6113197475516129,56.18,Non-Western (South Asia),Non-Western
art_052,gemini-2.5-pro,0.5503600014739406,1.088115458573165,The Hindu,immigration,neutral,-0.5377554570992243,49.42,Non-Western (South Asia),Non-Western
art_052,gpt-4o,0.44189252268200047,1.088115458573165,The Hindu,immigration,neutral,-0.6462229358911644,59.39,Non-Western (South Asia),Non-Western
art_052,gpt-5-5,1.1896039750797711,1.088115458573165,The Hindu,immigration,neutral,0.10148851650660617,-9.33,Non-Western (South Asia),Non-Western
