article_id,model,topic,outlet,frame,lfi_after,frame_a_label,frame_b_label,frame_a_count,frame_b_count,lfi_total_hits,lfi_before,abs_lfi_before,abs_lfi_after,abs_lfi_change,abs_lfi_reduction
art_091,gpt-4o,immigration,Global Times,neutral,1.0,humanitarian,security,4,0,4,0.3333,0.3333,1.0,0.6667000000000001,-0.6667000000000001
art_091,gpt-5-5,immigration,Global Times,neutral,1.0,humanitarian,security,3,0,3,0.3333,0.3333,1.0,0.6667000000000001,-0.6667000000000001
art_091,gemini-2.5-pro,immigration,Global Times,neutral,1.0,humanitarian,security,3,0,3,0.3333,0.3333,1.0,0.6667000000000001,-0.6667000000000001
art_232,gpt-4o,environment,Straits Times,neutral,1.0,concern,skeptical,5,0,5,1.0,1.0,1.0,0.0,0.0
art_232,gpt-5-5,environment,Straits Times,neutral,1.0,concern,skeptical,11,0,11,1.0,1.0,1.0,0.0,0.0
art_232,gemini-2.5-pro,environment,Straits Times,neutral,1.0,concern,skeptical,11,0,11,1.0,1.0,1.0,0.0,0.0
art_092,gpt-4o,immigration,Global Times,neutral,0.0,humanitarian,security,0,0,0,0.0,0.0,0.0,0.0,0.0
art_092,gpt-5-5,immigration,Global Times,neutral,0.0,humanitarian,security,0,0,0,0.0,0.0,0.0,0.0,0.0
art_092,gemini-2.5-pro,immigration,Global Times,neutral,0.0,humanitarian,security,0,0,0,0.0,0.0,0.0,0.0,0.0
art_224,gpt-4o,environment,News24,neutral,0.0,concern,skeptical,0,0,0,1.0,1.0,0.0,-1.0,1.0
art_224,gpt-5-5,environment,News24,neutral,1.0,concern,skeptical,2,0,2,1.0,1.0,1.0,0.0,0.0
art_224,gemini-2.5-pro,environment,News24,neutral,1.0,concern,skeptical,2,0,2,1.0,1.0,1.0,0.0,0.0
art_218,gpt-4o,environment,Fox News,skeptical,0.75,concern,skeptical,7,1,8,0.5,0.5,0.75,0.25,-0.25
art_218,gpt-5-5,environment,Fox News,skeptical,0.7778,concern,skeptical,8,1,9,0.5,0.5,0.7778,0.27780000000000005,-0.27780000000000005
art_218,gemini-2.5-pro,environment,Fox News,skeptical,0.75,concern,skeptical,7,1,8,0.5,0.5,0.75,0.25,-0.25
art_213,gpt-4o,environment,RT News,skeptical,1.0,concern,skeptical,2,0,2,1.0,1.0,1.0,0.0,0.0
art_213,gpt-5-5,environment,RT News,skeptical,1.0,concern,skeptical,2,0,2,1.0,1.0,1.0,0.0,0.0
art_213,gemini-2.5-pro,environment,RT News,skeptical,1.0,concern,skeptical,1,0,1,1.0,1.0,1.0,0.0,0.0
art_214,gpt-4o,environment,Al Jazeera,concern,-1.0,concern,skeptical,0,1,1,0.0,0.0,1.0,1.0,-1.0
art_214,gpt-5-5,environment,Al Jazeera,concern,0.0,concern,skeptical,0,0,0,0.0,0.0,0.0,0.0,0.0
art_214,gemini-2.5-pro,environment,Al Jazeera,concern,0.0,concern,skeptical,0,0,0,0.0,0.0,0.0,0.0,0.0
art_204,gpt-4o,environment,Global Times,neutral,1.0,concern,skeptical,7,0,7,1.0,1.0,1.0,0.0,0.0
art_204,gpt-5-5,environment,Global Times,neutral,1.0,concern,skeptical,7,0,7,1.0,1.0,1.0,0.0,0.0
art_204,gemini-2.5-pro,environment,Global Times,neutral,1.0,concern,skeptical,6,0,6,1.0,1.0,1.0,0.0,0.0
art_001,gpt-4o,immigration,Fox News,security,-0.7143,humanitarian,security,1,6,7,-0.9,0.9,0.7143,-0.18569999999999998,0.18569999999999998
