article_id,api,entity_text,entity_type,confidence,entity_sentiment_score,entity_salience,neutralisation_model
art_091,AWS,Friedrich Merz,PERSON,0.9986,,,gpt-4o
art_091,AWS,Christian Democratic Union,ORGANIZATION,0.9926,,,gpt-4o
art_091,AWS,CDU,ORGANIZATION,0.9855,,,gpt-4o
art_091,AWS,Christian Social Union,ORGANIZATION,0.9938,,,gpt-4o
art_091,AWS,CSU,ORGANIZATION,0.991,,,gpt-4o
art_091,AWS,CDU,ORGANIZATION,0.9674,,,gpt-4o
art_091,AWS,"Berlin, Germany",LOCATION,0.9874,,,gpt-4o
art_091,AWS,"February 23, 2025",DATE,0.9991,,,gpt-4o
art_091,AWS,German,OTHER,0.6682,,,gpt-4o
art_091,AWS,national election,EVENT,0.7173,,,gpt-4o
art_091,AWS,Xinhua News Agency,ORGANIZATION,0.9956,,,gpt-4o
art_091,AWS,Monday morning,DATE,0.9982,,,gpt-4o
art_091,AWS,Germany,ORGANIZATION,0.7993,,,gpt-4o
art_091,AWS,CDU,ORGANIZATION,0.9824,,,gpt-4o
art_091,AWS,CSU,ORGANIZATION,0.9865,,,gpt-4o
art_091,AWS,German,OTHER,0.5157,,,gpt-4o
art_091,AWS,federal election,EVENT,0.7523,,,gpt-4o
art_091,AWS,German,OTHER,0.8722,,,gpt-4o
art_091,AWS,China,ORGANIZATION,0.6718,,,gpt-4o
art_091,AWS,Germany,ORGANIZATION,0.6134,,,gpt-4o
art_091,AWS,China,ORGANIZATION,0.7469,,,gpt-4o
art_091,AWS,Foreign Ministry,ORGANIZATION,0.6366,,,gpt-4o
art_091,AWS,Lin Jian,PERSON,0.9987,,,gpt-4o
art_091,AWS,Monday,DATE,0.9978,,,gpt-4o
art_091,AWS,China,ORGANIZATION,0.9856,,,gpt-4o
art_091,AWS,German federal government,ORGANIZATION,0.9091,,,gpt-4o
art_091,AWS,China,ORGANIZATION,0.9702,,,gpt-4o
art_091,AWS,Germany,ORGANIZATION,0.6002,,,gpt-4o
art_091,AWS,past,QUANTITY,0.4415,,,gpt-4o
art_091,AWS,53 years,QUANTITY,0.8298,,,gpt-4o
art_091,AWS,China,ORGANIZATION,0.9911,,,gpt-4o
art_091,AWS,Germany,ORGANIZATION,0.9838,,,gpt-4o
art_091,AWS,Germany,ORGANIZATION,0.9636,,,gpt-4o
art_091,AWS,EU,ORGANIZATION,0.9758,,,gpt-4o
art_091,AWS,China,ORGANIZATION,0.9505,,,gpt-4o
art_091,AWS,Germany,ORGANIZATION,0.9504,,,gpt-4o
art_091,AWS,EU,ORGANIZATION,0.9847,,,gpt-4o
art_091,AWS,European,OTHER,0.7766,,,gpt-4o
art_091,AWS,EU,ORGANIZATION,0.9948,,,gpt-4o
art_091,AWS,Germany,ORGANIZATION,0.9716,,,gpt-4o
art_091,AWS,EU,ORGANIZATION,0.9843,,,gpt-4o
art_091,AWS,Lin,PERSON,0.9986,,,gpt-4o
art_091,AWS,CDU/CSU,ORGANIZATION,0.9813,,,gpt-4o
art_091,AWS,28.5 percent,QUANTITY,0.998,,,gpt-4o
art_091,AWS,Alternative for Germany,ORGANIZATION,0.9944,,,gpt-4o
art_091,AWS,AfD,ORGANIZATION,0.9425,,,gpt-4o
art_091,AWS,20.6 percent,QUANTITY,0.9959,,,gpt-4o
art_091,AWS,Social Democratic Party,ORGANIZATION,0.9923,,,gpt-4o
art_091,AWS,SPD,ORGANIZATION,0.9845,,,gpt-4o
art_091,AWS,16.5 percent,QUANTITY,0.9978,,,gpt-4o
art_091,AWS,Xinhua,ORGANIZATION,0.9831,,,gpt-4o
art_091,AWS,German,OTHER,0.9821,,,gpt-4o
art_091,AWS,ARD,ORGANIZATION,0.984,,,gpt-4o
art_091,AWS,Greens,ORGANIZATION,0.8598,,,gpt-4o
art_091,AWS,fourth,QUANTITY,0.9963,,,gpt-4o
art_091,AWS,11.8 percent,QUANTITY,0.9976,,,gpt-4o
