article_id,api,net_sentiment,outlet,topic,frame,region,broad_region
art_001,AWS,-0.1434,Fox News,immigration,security,Western (US),Western/Global
art_001,Google,0.0,Fox News,immigration,security,Western (US),Western/Global
art_001,Azure,-0.25,Fox News,immigration,security,Western (US),Western/Global
art_002,AWS,-0.0899,BBC,immigration,neutral,Western (UK),Western/Global
art_002,Google,-0.3,BBC,immigration,neutral,Western (UK),Western/Global
art_002,Azure,-0.75,BBC,immigration,neutral,Western (UK),Western/Global
art_003,AWS,-0.016,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_003,Google,-0.3,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_003,Azure,-0.5,The Guardian,immigration,humanitarian,Western (UK),Western/Global
art_004,AWS,-0.129,CNN,immigration,neutral,Western (US),Western/Global
art_004,Google,-0.2,CNN,immigration,neutral,Western (US),Western/Global
art_004,Azure,-0.66,CNN,immigration,neutral,Western (US),Western/Global
art_005,AWS,-0.1128,Reuters,immigration,neutral,Global,Western/Global
art_005,Google,-0.3,Reuters,immigration,neutral,Global,Western/Global
art_005,Azure,-0.77,Reuters,immigration,neutral,Global,Western/Global
art_006,AWS,-0.0752,Global Times,immigration,humanitarian,Non-Western (China),Non-Western
art_006,Google,-0.4,Global Times,immigration,humanitarian,Non-Western (China),Non-Western
art_006,Azure,-0.69,Global Times,immigration,humanitarian,Non-Western (China),Non-Western
art_007,AWS,-0.0363,RT News,immigration,humanitarian,Non-Western (Russia),Non-Western
art_007,Google,-0.4,RT News,immigration,humanitarian,Non-Western (Russia),Non-Western
art_007,Azure,-0.71,RT News,immigration,humanitarian,Non-Western (Russia),Non-Western
art_008,AWS,-0.0265,Al Jazeera,immigration,humanitarian,Non-Western (Middle East),Non-Western
art_008,Google,-0.2,Al Jazeera,immigration,humanitarian,Non-Western (Middle East),Non-Western
art_008,Azure,-0.75,Al Jazeera,immigration,humanitarian,Non-Western (Middle East),Non-Western
art_009,AWS,0.0399,Straits Times,immigration,humanitarian,Non-Western (Southeast Asia),Non-Western
art_009,Google,-0.2,Straits Times,immigration,humanitarian,Non-Western (Southeast Asia),Non-Western
art_009,Azure,-0.86,Straits Times,immigration,humanitarian,Non-Western (Southeast Asia),Non-Western
art_010,AWS,-0.0283,Le Monde,immigration,neutral,Western (Europe),Western/Global
art_010,Google,-0.2,Le Monde,immigration,neutral,Western (Europe),Western/Global
art_010,Azure,-0.72,Le Monde,immigration,neutral,Western (Europe),Western/Global
