frame_a_label,frame_b_label,lfi_score_exact,lfi_score_lemma,frame_a_count_exact,frame_b_count_exact,frame_a_count_lemma,frame_b_count_lemma,lfi_total_hits_exact,lfi_total_hits_lemma,article_id,pair_id,outlet,topic,frame,lfi_score,frame_a_count,frame_b_count,lfi_total_hits
humanitarian,security,-0.8824,-0.9,1,16,1,19,17,20,art_001,imm_001,Fox News,immigration,security,-0.9,1,19,20
humanitarian,security,-1.0,-1.0,0,14,0,24,14,24,art_002,imm_001,BBC,immigration,neutral,-1.0,0,24,24
humanitarian,security,-0.7,-0.7895,3,17,4,34,20,38,art_003,imm_001,The Guardian,immigration,humanitarian,-0.7895,4,34,38
humanitarian,security,-0.697,-0.75,5,28,6,42,33,48,art_004,imm_001,CNN,immigration,neutral,-0.75,6,42,48
humanitarian,security,-0.8462,-0.9167,1,12,1,23,13,24,art_005,imm_001,Reuters,immigration,neutral,-0.9167,1,23,24
humanitarian,security,-1.0,-0.8333,0,8,1,11,8,12,art_006,imm_001,Global Times,immigration,humanitarian,-0.8333,1,11,12
humanitarian,security,-1.0,-1.0,0,6,0,11,6,11,art_007,imm_001,RT News,immigration,humanitarian,-1.0,0,11,11
humanitarian,security,-0.5833,-0.8788,5,19,2,31,24,33,art_008,imm_001,Al Jazeera,immigration,humanitarian,-0.8788,2,31,33
humanitarian,security,-0.7333,-0.8,2,13,2,18,15,20,art_009,imm_001,Straits Times,immigration,humanitarian,-0.8,2,18,20
humanitarian,security,-0.8462,-1.0,1,12,0,20,13,20,art_010,imm_001,Le Monde,immigration,neutral,-1.0,0,20,20
humanitarian,security,0.3333,0.6364,4,2,9,2,6,11,art_011,imm_002,BBC,immigration,humanitarian,0.6364,9,2,11
humanitarian,security,0.0,1.0,0,0,12,0,0,12,art_012,imm_002,RT News,immigration,humanitarian,1.0,12,0,12
humanitarian,security,-0.1111,-0.1429,4,5,6,8,9,14,art_013,imm_002,CNN,immigration,humanitarian,-0.1429,6,8,14
humanitarian,security,1.0,0.7143,4,0,6,1,4,7,art_014,imm_002,BBC,immigration,security,0.7143,6,1,7
humanitarian,security,0.0,-0.3333,3,3,3,6,6,9,art_015,imm_002,Fox News,immigration,security,-0.3333,3,6,9
humanitarian,security,0.3333,0.5,2,1,9,3,3,12,art_016,imm_002,Reuters,immigration,humanitarian,0.5,9,3,12
humanitarian,security,0.0,0.75,0,0,7,1,0,8,art_017,imm_002,France 24,immigration,neutral,0.75,7,1,8
humanitarian,security,0.6842,0.7949,16,3,35,4,19,39,art_018,imm_002,The Guardian,immigration,humanitarian,0.7949,35,4,39
humanitarian,security,1.0,0.0,1,0,1,1,1,2,art_019,imm_002,Global Times,immigration,neutral,0.0,1,1,2
humanitarian,security,0.0,0.3333,1,1,2,1,2,3,art_020,imm_002,South China Morning Post,immigration,humanitarian,0.3333,2,1,3
humanitarian,security,-0.0833,0.2766,11,13,30,17,24,47,art_021,imm_002,BBC,immigration,neutral,0.2766,30,17,47
humanitarian,security,0.3333,0.3846,8,4,9,4,12,13,art_022,imm_005,Fox News,immigration,security,0.3846,9,4,13
humanitarian,security,0.931,0.9111,28,1,43,2,29,45,art_023,imm_005,China Daily,immigration,humanitarian,0.9111,43,2,45
humanitarian,security,0.7778,0.7778,8,1,8,1,9,9,art_024,imm_005,BBC,immigration,security,0.7778,8,1,9
humanitarian,security,0.8519,0.8182,25,2,30,3,27,33,art_025,imm_005,CNN,immigration,security,0.8182,30,3,33
humanitarian,security,0.7333,0.875,13,2,15,1,15,16,art_026,imm_005,The Guardian,immigration,humanitarian,0.875,15,1,16
humanitarian,security,0.0833,0.1538,13,11,15,11,24,26,art_027,imm_005,The Hindu,immigration,neutral,0.1538,15,11,26
humanitarian,security,0.4667,0.2941,11,4,11,6,15,17,art_028,imm_005,Reuters,immigration,humanitarian,0.2941,11,6,17
humanitarian,security,1.0,1.0,10,0,13,0,10,13,art_029,imm_005,RT News,immigration,humanitarian,1.0,13,0,13
humanitarian,security,0.875,0.6667,15,1,15,3,16,18,art_030,imm_005,DW,immigration,humanitarian,0.6667,15,3,18
humanitarian,security,0.8235,0.8276,31,3,53,5,34,58,art_031,imm_005,Al Jazeera,immigration,humanitarian,0.8276,53,5,58
people-centric,state-centric,0.5,0.6,3,1,4,1,4,5,art_032,pol_001,RT News,political conflict,people-centric,0.6,4,1,5
people-centric,state-centric,0.9167,0.9231,23,1,25,1,24,26,art_033,pol_001,Al Jazeera,political conflict,people-centric,0.9231,25,1,26
people-centric,state-centric,0.0,0.5,2,2,6,2,4,8,art_034,pol_001,CNN,political conflict,neutral,0.5,6,2,8
people-centric,state-centric,0.25,0.25,5,3,5,3,8,8,art_035,pol_001,BBC,political conflict,neutral,0.25,5,3,8
humanitarian,security,0.0,1.0,0,0,4,0,0,4,art_036,imm_003,Global Times,immigration,neutral,1.0,4,0,4
humanitarian,security,0.4286,0.7778,5,2,16,2,7,18,art_037,imm_003,Al Jazeera,immigration,humanitarian,0.7778,16,2,18
humanitarian,security,0.1429,0.25,4,3,5,3,7,8,art_038,imm_003,RT News,immigration,neutral,0.25,5,3,8
humanitarian,security,1.0,0.8571,6,0,13,1,6,14,art_039,imm_003,CNN,immigration,neutral,0.8571,13,1,14
humanitarian,security,0.3333,0.8824,2,1,16,1,3,17,art_040,imm_003,BBC,immigration,humanitarian,0.8824,16,1,17
humanitarian,security,1.0,1.0,3,0,8,0,3,8,art_041,imm_003,Fox News,immigration,neutral,1.0,8,0,8
humanitarian,security,0.0,1.0,0,0,1,0,0,1,art_042,imm_003,Reuters,immigration,humanitarian,1.0,1,0,1
humanitarian,security,0.5,0.3333,3,1,4,2,4,6,art_043,imm_003,France 24,immigration,security,0.3333,4,2,6
humanitarian,security,0.2,0.6,3,2,8,2,5,10,art_044,imm_003,The Guardian,immigration,humanitarian,0.6,8,2,10
humanitarian,security,1.0,0.0,1,0,1,1,1,2,art_045,imm_003,South China Morning Post,immigration,neutral,0.0,1,1,2
humanitarian,security,0.0,0.6842,2,2,16,3,4,19,art_046,imm_003,Daily Maverick,immigration,security,0.6842,16,3,19
humanitarian,security,-0.3333,-0.5,1,2,1,3,3,4,art_047,imm_004,Fox News,immigration,security,-0.5,1,3,4
humanitarian,security,1.0,0.6667,5,0,5,1,5,6,art_048,imm_004,BBC,immigration,neutral,0.6667,5,1,6
humanitarian,security,0.7647,0.8,15,2,18,2,17,20,art_049,imm_004,CNN,immigration,humanitarian,0.8,18,2,20
humanitarian,security,0.875,0.9,15,1,19,1,16,20,art_050,imm_004,The Guardian,immigration,humanitarian,0.9,19,1,20
humanitarian,security,1.0,1.0,2,0,2,0,2,2,art_051,imm_004,The Hindu,immigration,neutral,1.0,2,0,2
humanitarian,security,1.0,1.0,2,0,2,0,2,2,art_052,imm_004,The Hindu,immigration,neutral,1.0,2,0,2
humanitarian,security,0.75,0.5556,7,1,7,2,8,9,art_053,imm_004,Reuters,immigration,neutral,0.5556,7,2,9
humanitarian,security,1.0,1.0,7,0,7,0,7,7,art_054,imm_004,France 24,immigration,security,1.0,7,0,7
humanitarian,security,0.7647,0.84,15,2,23,2,17,25,art_055,imm_004,Al Jazeera,immigration,humanitarian,0.84,23,2,25
humanitarian,security,0.5,0.5,3,1,3,1,4,4,art_056,imm_004,Straits Times,immigration,security,0.5,3,1,4
humanitarian,security,0.0,-0.2,3,3,2,3,6,5,art_057,imm_006,Fox News,immigration,neutral,-0.2,2,3,5
